"","classcode","common_name","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id"
"104","CVIO","Monkeyface Eel","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Cebidichthys","violaceus","Cebidichthys violaceus","WoRMS","280053"
"107","DMAC","Mackerel scad","Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Decapterus","macarellus","Decapterus macarellus","WoRMS","126807"
"108","EBIS","Buffalo Sculpin","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Enophrys","bison","Enophrys bison","WoRMS","275355"
"110","EJAC","Black Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","jacksoni","Embiotoca jacksoni","WoRMS","240746"
"114","ELAT","Striped Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotoca","lateralis","Embiotoca lateralis","WoRMS","240740"
"118","EMBI","Surfperches","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Embiotocidae","spp","Embiotocidae","WoRMS","151386"
"121","EMOR","Northern Anchovy","Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","mordax","Engraulis mordax","WoRMS","272286"
"125","EWAL","Masked Prickleback","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Ernogrammus","walkeri","Ernogrammus walkeri","WoRMS","280706"
"127","GBY","Gopher and Black And Yellow Rockfish Young of Year","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","chrysomelas/carnatus young of year","Sebastes chrysomelas/carnatus","WoRMS","240737/274779"
"130","GELE","Spotted Kelpfish","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Gibbonsia","elegans","Gibbonsia elegans","WoRMS","280833"
"132","GGAL","Tope Shark","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Galeorhinus","galeus","Galeorhinus galeus","WoRMS","105820"
"136","GIBB","Kelpfish","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Gibbonsia","spp","Gibbonsia","WoRMS","269206"
"138","GMAE","Northern Clingfish","Animalia","Chordata","Actinopterygii","Gobiesociformes","Gobiesocidae","Gobiesox","maeandricus","Gobiesox maeandricus","WoRMS","275671"
"139","GMOR","California Moray","Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax","mordax","Gymnothorax mordax","WoRMS","271856"
"143","GNIG","Opaleye","Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Girella","nigricans","Girella nigricans","WoRMS","280865"
"147","GOBI","Gobies","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Gobiidae","spp","Gobiidae","WoRMS","125537"
"150","HANA","Spotfin Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","anale","Hyperprosopon anale","WoRMS","281097"
"153","HARG","Walleye Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","argenteum","Hyperprosopon argenteum","WoRMS","281098"
"157","HAZU","Zebra-Perch Sea Chub","Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Hermosilla","azurea","Hermosilla azurea","WoRMS","281049"
"160","HCAL","Californian Salema","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Haemulon","californiensis","Haemulon californiensis","WoRMS","1020317"
"163","HCAR","Rainbow Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Hypsurus","caryi","Hypsurus caryi","WoRMS","240717"
"167","HDEC","Kelp Greenling","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","decagrammus","Hexagrammos decagrammus","WoRMS","240732"
"170","HELL","Silver Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","ellipticum","Hyperprosopon ellipticum","WoRMS","281099"
"173","HEXA","Unidentified Hexagrammos","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","spp","Hexagrammos","WoRMS","240731"
"175","HFRA","Horn Shark","Animalia","Chordata","Elasmobranchii","Heterodontiformes","Heterodontidae","Heterodontus","francisci","Heterodontus francisci","WoRMS","276694"
"179","HGRI","Sixgill shark","Animalia","Chordata","Elasmobranchii","Hexanchiformes","Hexanchidae","Hexanchus","griseus","Hexanchus griseus","WoRMS","105833"
"180","HHEM","Red Irish Lord","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Hemilepidotus","hemilepidotus","Hemilepidotus hemilepidotus","WoRMS","254521"
"182","HLAG","Rock Greenling","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","lagocephalus","Hexagrammos lagocephalus","WoRMS","240735"
"185","HROS","Giant Kelpfish","Animalia","Chordata","Actinopterygii","Perciformes","Clinidae","Heterostichus","rostratus","Heterostichus rostratus","WoRMS","281075"
"189","HRUB","Garibaldi","Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Hypsypops","rubicundus","Hypsypops rubicundus","WoRMS","281130"
"193","HSEM","Rock Wrasse","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Halichoeres","semicinctus","Halichoeres semicinctus","WoRMS","275798"
"197","HSPI","Brown Irish Lord","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Hemilepidotus","spinosus","Hemilepidotus spinosus","WoRMS","279413"
"198","HSTE","Whitespotted Greenling","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Hexagrammos","stelleri","Hexagrammos stelleri","WoRMS","254545"
"200","JZON","Longfin Sculpin","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Jordania","zonope","Jordania zonope","WoRMS","398459"
"203","KGB","Kelp, Gopher, Black And Yellow, and Copper Rockfish Young of Year","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","atrovirens,carnatus,chrysomelas,caurinus","Sebastes atrovirens/carnatus/chrysomelas/caurinus","WoRMS","274772/274779/240737/274780"
"206","KSEI","Six-Spot Prickleback","Animalia","Chordata","Actinopterygii","Perciformes","Stichaeidae","Kasatkia","seigeli","Kasatkia seigeli","WoRMS","281215"
"209","LARM","Pacific staghorn sculpin","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Leptocottus","armatus","Leptocottus armatus","WoRMS","254345"
"210","LCON","Kelp Goby, Halfblind Goby","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Lethops","connectens","Lethops connectens","WoRMS","240723"
"212","LDAL","Bluebanded Goby","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Lythrypnus","dalli","Lythrypnus dalli","WoRMS","281457"
"215","LHIR","Lavender Sculpin","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Leiocottus","hirundo","Leiocottus hirundo","WoRMS","281282"
"218","LIPA","Snailfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Liparis","spp","Liparis","WoRMS","126160"
"220","LLEP","Bay Goby","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Lepidogobius","lepidus","Lepidogobius lepidus","WoRMS","281292"
"222","LMUC","Slimy Snailfish","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Liparidae","Liparis","mucosus","Liparis mucosus","WoRMS","274527"
"224","LXAN","Largemouth Blenny","Animalia","Chordata","Actinopterygii","Blenniiformes","Labrisomidae","Labrisomus","xanti","Labrisomus xanti","WoRMS","281266"
"225","LZEB","Zebra Goby","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Lythrypnus","zebra","Lythrypnus zebra","WoRMS","281472"
"227","MCAL","Halfmoon","Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Medialuna","californiensis","Medialuna californiensis","WoRMS","281541"
"231","MCEP","Mullet","Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae","Mugil","cephalus","Mugil cephalus","WoRMS","126983"
"234","MMIN","Dwarf Surfperch","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Micrometrus","minimus","Micrometrus minimus","WoRMS","281562"
"237","MMOL","Ocean Sunfish","Animalia","Chordata","Actinopterygii","Tetradontiformes","Molidae","Mola","mola","Mola mola","WoRMS","127405"
"240","MXEN","Broomtail Grouper","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Mycteroperca","xenarcha","Mycteroperca xenarcha","WoRMS","273886"
"242","NBLA","Sarcastic Fringehead","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus","blanchardi","Neoclinus blanchardi","WoRMS","281679"
"244","NCEP","Broadnose Sevengill Shark","Animalia","Chordata","Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus","cepedianus","Notorynchus cepedianus","WoRMS","217628"
"246","NO_ORG","No Organisms Present In This Sample",NA,NA,NA,NA,NA,NA,NA,"No Organisms Present In This Sample","MLPA_kelpforest",NA
"250","NSTE","Yellowfin Fringehead","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus","stephensae","Neoclinus stephensae","WoRMS","281685"
"252","NUNI","Onespot Fringehead","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae","Neoclinus","uninotatus","Neoclinus uninotatus","WoRMS","281687"
"254","OCAL","Senorita","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Oxyjulis","californica","Oxyjulis californica","WoRMS","240727"
"258","OELO","Lingcod","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Ophiodon","elongatus","Ophiodon elongatus","WoRMS","240745"
"262","OPIC","Painted Greenling","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae","Oxylebius","pictus","Oxylebius pictus","WoRMS","240743"
"266","OTRI","Snubnose Sculpin","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Orthonopias","triacis","Orthonopias triacis","WoRMS","281935"
"269","OYB","Olive, Yellowtail, and Black Rockfish Young Of Year","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","serranoides,flavidus,melanops","Sebastes serranoides/flavidus/melanops","WoRMS","274852/274795/274817"
